Year,NSW,ACT,QLD,SA,WA,TAS,VIC,NT
1977,78173,4381,35069,19086,20981,6739,59602,2923
1978,78190,4342,35054,18964,21094,6751,59364,2600
1979,77669,4217,34858,18403,20523,6947,58006,2747
1980,78859,4181,34666,18317,20354,6660,57768,2859
1981,80980,4193,37545,18960,21277,7112,58104,2749
1982,82185,4120,39403,19076,22236,7140,59842,3074
1983,84180,4081,41863,19445,22442,6994,59768,2991
1984,82541,4155,40815,20118,22463,7106,60143,3203
1985,83812,4056,40257,19901,22967,7232,60515,3074
1986,81351,4112,40355,19657,23290,6974,59935,3441
1987,83582,4103,40090,19628,23811,6976,61231,3376
1988,86370,4172,39538,19288,24339,6705,62256,3532
1989,87391,4276,41135,19445,24745,6840,62985,3338
1990,87857,4460,44168,19573,25231,6942,65799,3491
1991,89922,4582,44429,19841,25736,6972,66031,3645
1992,89569,4514,45594,19655,24880,6920,64823,3698
1993,89760,4500,46301,19819,24741,6814,64965,3594
1994,88370,4440,46901,19382,24990,6870,64205,3661
1995,87859,4473,47509,19475,25104,6812,63619,3710
1996,85248,4275,46566,18839,24614,6377,61327,3596
1997,87997,4302,47488,18576,24744,6242,61233,3564
1998,85857,4140,47051,18330,24706,5870,60145,3650
1999,86408,4212,47067,18399,25244,6384,59375,3598
2000,86975,4140,47330,17896,24910,5804,59734,3635
2001,87057,4042,47941,17414,24429,5874,58689,3729
2002,85221,3979,48169,17601,24391,5831,60407,3740
2003,86052,4024,47914,17331,24025,5723,60220,3818
2004,85816,4143,49537,17339,24419,5708,61442,3620
2005,86973,4205,52233,17655,25453,5978,62310,3514
2006,88630,4411,54106,18000,26930,6372,63816,3726
2007,96420,4603,58275,19015,29291,6801,68987,3786
2008,97303,4608,61710,19773,30588,6745,70515,3895
2009,99233,4849,63288,19923,30806,6824,71227,3905
2010,100355,5197,63553,20033,31689,6545,72722,3901
2011,99385,5098,62888,19856,31846,6545,71593,3922
2012,98886,5285,63227,20267,32939,6351,75018,4014
2013,99926,5534,63959,20496,34513,6109,76542,4012
2014,96119,5606,63490,20205,34932,6030,76594,3987
2015,97857,5659,62522,19952,35149,5755,76716,4039
2016,99260,5703,62190,19917,35875,5869,78953,3928
