Year,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
1977,42075,30067,16991,9715,7914,3227,715,786
1978,40121,29343,16353,9768,7781,3299,612,782
1979,39975,29523,16627,9748,7779,3318,586,759
1980,39799,28925,15774,9536,8078,3199,588,755
1981,39979,29144,17195,9806,8345,3494,671,795
1982,41267,29496,17315,9894,8092,3371,696,859
1983,41348,30390,17903,10339,8126,3387,561,864
1984,41278,29547,16728,9799,8552,3441,671,871
1985,41908,30246,17983,10204,8752,3654,572,878
1986,41921,30841,18576,10427,8998,3656,646,1004
1987,42281,30675,18315,10577,9140,3461,674,1016
1988,44287,31671,19080,10799,9199,3650,777,1000
1989,42955,31372,18803,10781,9392,3649,840,975
1990,46211,32107,20554,11320,9458,3590,786,1086
1991,42830,31081,19382,11074,9572,3712,802,1119
1992,43579,31304,19748,11060,9610,3694,772,1069
1993,43059,31284,20232,11351,9937,3676,737,1062
1994,43597,31627,20716,11375,10491,3754,781,1150
1995,44776,32271,21455,11522,10310,3836,828,1223
1996,44464,32827,21265,11339,10661,3856,767,1213
1997,44720,32570,21902,11625,10586,3798,831,1259
1998,45812,32423,22404,11728,10990,3766,825,1304
1999,45103,32298,22631,11648,10735,3726,849,1279
2000,45073,31992,22678,11590,11081,3715,913,1344
2001,45656,32253,22553,11919,10463,3827,877,1360
2002,45173,32625,23315,11807,11158,3849,901,1418
2003,46079,33075,23579,12088,11161,3974,872,1404
2004,46351,33091,24236,11931,11305,3978,865,1468
2005,45593,32402,24166,11776,11180,3839,956,1430
2006,46105,33109,24527,12142,11745,3945,962,1503
2007,46206,34194,25132,11967,11956,4013,964,1536
2008,47667,35197,26152,12440,12432,4150,1045,1645
2009,48695,36033,26769,12722,12584,4225,1015,1683
2010,47319,35058,26955,12577,12755,4236,937,1604
2011,49387,36421,27084,12786,12718,4343,977,1716
2012,50465,36168,27794,12773,12969,4285,1020,1721
2013,50281,36588,28432,13133,13462,4461,1070,1736
2014,50776,37375,27869,13013,13624,4490,1123,1743
2015,52934,38573,29405,13480,14053,4426,1182,1840
2016,53105,38828,29804,13378,14513,4675,1091,1969
