Year,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
1977,-9000,-10000,11000,0,5000,-1000,2000,2000
1978,-2000,-11000,12000,-1500,1500,-1000,1500,500
1979,1500,-11000,13000,-4000,1000,-500,500,-500
1980,-2000,-11000,17000,-4500,1500,-1000,500,-500
1981,-14963,-15398,35054,-5109,2134,-1014,335,-1039
1982,-19584,-14429,35453,-4875,3558,-2022,2069,-170
1983,-17181,-5136,20831,-328,1510,-1214,530,988
1984,-10267,-3340,9959,553,732,695,726,942
1985,-9328,-5799,12920,-2317,1970,777,608,1169
1986,-12462,-13201,16500,-1417,9428,-138,-493,1783
1987,-9524,-13105,19718,-3977,6576,-1508,-120,1940
1988,-13340,-14423,27720,-1240,4274,-1924,-3129,2062
1989,-37974,-12504,47062,-221,5017,203,-1469,-114
1990,-35983,-7829,38102,-252,3012,2790,-1170,1330
1991,-17206,-14853,29709,1545,-1791,816,-1152,2932
1992,-13807,-18427,34099,-658,-1314,-289,-969,1365
1993,-17535,-25388,49162,-5210,-152,-1494,-699,1316
1994,-12180,-29195,44936,-3978,3825,-2107,-875,-426
1995,-13478,-22020,40224,-7069,5101,-2656,384,-486
1996,-14770,-12800,32614,-6192,4066,-2590,328,-656
1997,-10661,-6195,19605,-3318,4660,-3325,1754,-2470
1998,-12249,-270,17424,-1996,3227,-3633,-472,-1982
1999,-13050,2527,16682,-1631,296,-3317,-953,-506
2000,-14274,5219,18453,-3531,-2187,-2632,-907,-91
2001,-16315,5163,20024,-2418,-3110,-2136,-1592,407
2002,-25102,3609,30035,-1308,-3582,-1423,-1998,-197
2003,-32467,-743,37984,-1191,-1972,1993,-2768,-802
2004,-31098,-3051,35498,-2910,2095,2574,-1487,-1586
2005,-26321,-3070,30371,-3226,2241,267,610,-842
2006,-25576,-1831,26607,-2711,3933,-82,-553,258
2007,-26271,-1617,23381,-3371,5362,-537,443,2465
2008,-20780,-1924,19409,-4221,4991,730,1389,260
2009,-18667,1523,14702,-4402,5012,1063,934,-309
2010,-9458,3314,6172,-2709,2119,664,-661,427
2011,-13496,3534,6795,-2614,7033,-47,-2549,1354
2012,-18115,2417,11782,-3220,8609,-1925,-691,1145
2013,-14645,6420,8874,-4761,5676,-1286,-481,202
2014,-6751,9739,6294,-3890,-1724,-435,-2421,-812
2015,-6776,11079,6861,-4570,-4278,127,-2341,-103
2016,-11539,17639,11986,-7212,-10010,760,-2029,383
