Year,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
1977,25236,17969,4012,2874,6631,506,408,261
1978,25825,18068,6857,2638,7340,428,1428,131
1979,28086,15874,6489,541,3698,263,442,-256
1980,33499,20932,9480,3325,7309,599,361,436
1981,47291,29052,18168,6655,14866,1268,1043,832
1982,49393,31144,17565,8520,18157,930,1183,1225
1983,25740,19674,8621,6417,11209,611,482,541
1984,20698,14730,3267,3969,4268,659,832,675
1985,31279,20158,7665,4329,7794,769,1056,658
1986,40922,26420,11382,5084,13036,890,1205,1420
1987,52693,32836,13171,6200,17314,870,1022,1624
1988,61490,37252,20442,5952,20845,891,1027,1442
1989,62636,39414,21776,6665,24165,756,944,1080
1990,52199,34013,13142,5762,16838,760,918,1015
1991,36496,23513,9743,4619,10605,408,621,427
1992,31178,18362,8250,2897,7665,36,164,28
1993,12628,7965,3719,1546,4640,103,44,-603
1994,21929,10698,5241,1994,6718,192,195,-418
1995,35952,19295,10580,2883,10508,310,467,130
1996,48045,25692,13051,3653,12339,398,569,390
1997,37291,21078,12620,3106,12280,254,541,-70
1998,31843,19313,12490,3160,11993,39,560,-242
1999,41088,24691,13710,2682,13381,171,1006,-225
2000,43689,26982,17514,3829,13993,435,942,-99
2001,58619,35336,21003,2765,16263,101,878,719
2002,44411,20252,26488,2798,14970,307,655,698
2003,40919,26777,27122,3904,15575,1014,325,885
2004,29820,25020,25399,4305,13634,700,648,456
2005,35205,32292,29555,7020,17160,1045,1004,486
2006,38523,39561,32952,9813,22355,1166,1891,501
2007,73570,62539,46145,14633,31381,1437,1153,1936
2008,87389,73562,53907,15327,41176,1835,1623,2518
2009,86743,83616,59319,18005,44328,2127,2099,3608
2010,57152,53679,35820,14537,28866,1679,1231,3085
2011,51675,44631,34629,9168,36425,993,1100,1738
2012,57226,56174,46538,12358,50780,1524,3326,4019
2013,66763,59034,41831,11678,42138,1614,4354,2915
2014,66992,56906,27217,11640,18750,1801,1752,2715
2015,70309,60694,20434,11152,14071,1523,2354,3496
2016,80007,72215,24952,11283,11621,1771,1048,3330
