Year,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
1971,2.806,2.858,3.025,2.629,3.047,2.903,4.029,2.908
1972,2.653,2.634,2.854,2.423,2.673,2.695,3.477,2.728
1973,2.385,2.393,2.637,2.192,2.391,2.461,3.291,2.493
1974,2.303,2.298,2.5,2.113,2.263,2.422,2.988,2.444
1975,2.125,2.099,2.316,1.999,2.182,2.232,2.846,2.137
1976,2.036,2.024,2.18,1.866,2.143,2.105,3.048,2.077
1977,1.995,1.954,2.108,1.856,2.074,2.068,2.733,2.091
1978,1.953,1.907,2.019,1.764,2.016,2.068,2.647,1.968
1979,1.902,1.849,2.006,1.737,1.963,2.021,2.697,2.003
1980,1.925,1.838,1.931,1.727,1.924,1.971,2.285,1.98
1981,1.942,1.85,2.052,1.786,1.982,2.069,2.628,1.916
1982,1.958,1.842,2.06,1.762,1.952,1.998,2.309,1.877
1983,1.929,1.818,2.085,1.798,1.986,1.998,2.386,1.87
1984,1.794,1.789,1.981,1.805,1.842,1.997,2.316,1.824
1985,2.002,1.831,1.949,1.773,1.939,2.01,2.311,1.795
1986,1.911,1.772,1.912,1.761,1.976,1.924,2.203,1.745
1987,1.915,1.787,1.831,1.712,1.86,1.883,2.309,1.709
1988,1.85,1.781,1.841,1.696,1.962,1.891,2.247,1.765
1989,1.859,1.806,1.852,1.727,1.907,1.898,2.175,1.677
1990,1.95,1.863,1.932,1.744,1.903,1.945,2.264,1.782
1991,1.867,1.808,1.873,1.723,1.904,1.903,2.256,1.867
1992,1.971,1.814,1.93,1.7,1.874,1.944,2.368,1.724
1993,1.908,1.777,1.916,1.786,1.875,1.924,2.264,1.686
1994,1.879,1.791,1.876,1.745,1.871,1.947,2.273,1.704
1995,1.871,1.759,1.843,1.763,1.853,1.891,2.322,1.676
1996,1.834,1.715,1.871,1.764,1.809,1.891,2.163,1.661
1997,1.843,1.701,1.829,1.712,1.793,1.794,2.14,1.606
1998,1.812,1.692,1.824,1.713,1.779,1.816,2.163,1.535
1999,1.835,1.641,1.8,1.707,1.785,1.877,2.123,1.643
2000,1.828,1.645,1.819,1.718,1.804,1.803,2.175,1.566
2001,1.775,1.625,1.826,1.688,1.723,2.073,2.254,1.509
2002,1.813,1.697,1.814,1.735,1.699,1.968,2.226,1.571
2003,1.806,1.68,1.804,1.721,1.744,1.885,2.299,1.572
2004,1.801,1.713,1.837,1.699,1.814,1.908,2.154,1.594
2005,1.912,1.732,1.872,1.776,1.87,2.076,2.193,1.596
2006,1.927,1.772,1.875,1.812,1.954,2.133,2.205,1.686
2007,1.999,1.889,2.129,1.936,1.992,2.201,2.272,1.749
2008,2.052,1.878,2.136,1.972,2.095,2.235,2.228,1.738
2009,1.978,1.826,2.174,1.892,1.951,2.172,2.104,1.722
2010,2.02,1.785,2.087,1.897,1.936,2.079,2.119,1.782
2011,1.963,1.778,2.017,1.867,1.918,2.154,2.148,1.737
2012,1.93,1.883,1.996,1.896,1.916,2.028,2.163,1.778
2013,1.938,1.756,1.944,1.845,1.893,1.997,2.062,1.767
2014,1.723,1.715,1.91,1.85,1.906,1.963,2.041,1.738
2015,1.857,1.653,1.849,1.755,1.869,1.878,2.009,1.701
